Datum,Modell,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2023-02-01,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-02,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-03,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-07,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-08,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-09,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-10,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-13,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-14,MARKOWITZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
