date,daily_return
2023-01-04,0.0111060656001082
2023-01-05,-0.0122879468195394
2023-01-06,0.0252021243129419
2023-01-09,0.0014640965567751
2023-01-10,0.0067000225197701
2023-01-11,0.0098031684509429
2023-01-12,0.0081965209698266
2023-01-13,0.0062056102257282
2023-01-17,-0.0079082830886289
2023-01-18,-0.0180735907302214
2023-01-19,-0.0107811619336546
2023-01-20,0.0172231223816169
2023-01-23,0.0121917503361941
2023-01-24,0.0009089243794532
2023-01-25,0.0009207874290261
2023-01-26,0.0040033902825611
2023-01-27,0.0087729377484828
2023-01-30,-0.0087697634518664
2023-01-31,0.013123310737831
2023-02-01,0.0077359337914349
2023-02-02,0.0091672227554904
2023-02-03,-0.0093633120736054
2023-02-06,-0.0038125730621742
2023-02-07,0.0094691821477115
2023-02-08,-0.0068432090529448
2023-02-09,-0.0069082177427554
2023-02-10,-0.0003380483170474
2023-02-13,0.0128971741644789
2023-02-14,-0.0001310284002509
2023-02-15,0.0027031223885482
2023-02-16,-0.0137930622114305
2023-02-17,0.0008255556377298
2023-02-21,-0.02009015936742
2023-02-22,-0.0010109020650204
2023-02-23,0.0080813495156017
2023-02-24,-0.0102574220523823
2023-02-27,0.0030273311476913
2023-02-28,-0.005256121419108
2023-03-01,-0.0026796562783769
2023-03-02,0.0120707583194975
2023-03-03,0.0143225130086132
2023-03-06,-0.000377764675905
2023-03-07,-0.0146276221365846
2023-03-08,-0.0003714180610658
2023-03-09,-0.0178087572107522
2023-03-10,-0.01045341556708
2023-03-13,-0.0031859712230593
2023-03-14,0.0165415237062707
2023-03-15,-0.0056373390560461
2023-03-16,0.0149164410606867
2023-03-17,-0.0102463290391178
2023-03-20,0.0103004690390293
2023-03-21,0.0108521955632137
2023-03-22,-0.0160971598175213
2023-03-23,0.0036739157960075
2023-03-24,0.0020570991418569
2023-03-27,0.006728470551139
2023-03-28,-0.0024331199789883
2023-03-29,0.0134225984404374
2023-03-30,0.005300482130988
2023-03-31,0.0141225737801209
2023-04-03,0.0048200283956815
2023-04-04,-0.0048985256981595
2023-04-05,-0.0006927981100715
2023-04-06,0.0004877341681477
2023-04-10,0.0023927539137448
2023-04-11,-0.0008304252185972
2023-04-12,-0.0041242783052997
2023-04-13,0.0137355116936544
2023-04-14,-0.000689923748188
2023-04-17,0.0051351705032045
2023-04-18,0.0012792107307812
2023-04-19,-0.0005895100044604
2023-04-20,-0.0067774915000059
2023-04-21,0.0043690083705277
2023-04-24,0.0001064238857981
2023-04-25,-0.0121570766525675
2023-04-26,-0.0036127466805396
2023-04-27,0.0184661571353152
2023-04-28,0.0071657706532361
2023-05-01,-0.0014165833570942
2023-05-02,-0.0114861676661107
2023-05-03,-0.0059333306372194
2023-05-04,-0.0097478386937757
2023-05-05,0.0182343059878418
2023-05-08,0.0011347595735607
2023-05-09,-0.002383092079334
2023-05-10,0.0015409263662171
2023-05-11,-0.0059121541211559
2023-05-12,-0.0029190189214059
2023-05-15,0.0027905931723625
2023-05-16,-0.0074359628053925
2023-05-17,0.0144852583340015
2023-05-18,0.0089804983551891
2023-05-19,-0.003939959028262
2023-05-22,-0.0037818654189297
2023-05-23,-0.0092607560270592
2023-05-24,-0.0065544830154152
2023-05-25,0.0094629042574665
2023-05-26,0.012083508160191
2023-05-30,0.0001661575239395
2023-05-31,-0.0050795713983148
2023-06-01,0.0087663623961912
2023-06-02,0.0179882367852157
2023-06-05,-0.0056928210560333
2023-06-06,0.0010234957057995
2023-06-07,-0.0010264853293068
2023-06-08,0.007561448741865
2023-06-09,0.0010861157794566
2023-06-12,0.0082110726738145
2023-06-13,0.0046750131799989
2023-06-14,0.0004292616919448
2023-06-15,0.0110627655257782
2023-06-16,-0.0026015998291101
2023-06-20,-0.0069746406062494
2023-06-21,-0.0052038151506349
2023-06-22,0.0023066275913577
2023-06-23,-0.0060051185658857
2023-06-26,-0.0030305741974983
2023-06-27,0.0079064626607357
2023-06-28,-0.0002081964446312
2023-06-29,0.0070910549713006
2023-06-30,0.0111025871809939
2023-07-03,0.001531353367272
2023-07-05,-0.003234795560591
2023-07-06,-0.0102158760520483
2023-07-07,-0.0047995130082123
2023-07-10,0.0016546515004648
2023-07-11,0.0109682389927501
2023-07-12,0.0043557926846896
2023-07-13,0.0062728051323269
2023-07-14,-0.0025862424220716
2023-07-17,-0.0020689112850135
2023-07-18,0.0078502100620677
2023-07-19,0.0065475688476449
2023-07-20,0.0001621355052243
2023-07-21,-0.0003816252558547
2023-07-24,0.003035062263614
2023-07-25,0.0037892558364471
2023-07-26,0.0046460743883018
2023-07-27,-0.0082166993216251
2023-07-28,0.0087324762071039
2023-07-31,0.0031839543130808
2023-08-01,-0.0008609159015265
2023-08-02,-0.0129332146543027
2023-08-03,-0.0022084614154859
2023-08-04,-0.0014382260770615
2023-08-07,0.009022903267772
2023-08-08,-0.004689631196943
2023-08-09,-0.0076514453165897
2023-08-10,0.0033428213147299
2023-08-11,0.0006403915019357
2023-08-14,0.0056343946270138
2023-08-15,-0.011531653883448
2023-08-16,-0.0057076719813367
2023-08-17,-0.005696204220788
2023-08-18,0.0017640017337011
2023-08-21,0.0047647492314069
2023-08-22,-0.0051225755792911
2023-08-23,0.0086617503134368
2023-08-24,-0.0127996932022977
2023-08-25,0.0055990293546395
2023-08-28,0.007971347866737
2023-08-29,0.0113469176685954
2023-08-30,0.0023197837294317
2023-08-31,0.0005297576391974
2023-09-01,0.0014816489190398
2023-09-05,-0.0071194103273431
2023-09-06,-0.0067242308547522
2023-09-07,-0.000975353807311
2023-09-08,0.0013401731758133
